model,regime,mae,ci_lo,ci_hi
lgbm-nohijri,aggregate,1003.2506245019397,907.5344408760441,1113.2924044724473
lgbm-nohijri,Normal,889.2127285962824,786.486230038176,995.2173069183068
lgbm-nohijri,Ramadan,897.7392330902229,722.1852229334601,1106.4591529821012
lgbm-nohijri,Heatwave,1693.8723655937395,1433.1657527775062,1992.3986918436024
lgbm-hijri,aggregate,979.0015016654257,890.2332913543861,1079.870539945538
lgbm-hijri,Normal,873.5090256832912,784.0574538513908,967.7156296342218
lgbm-hijri,Ramadan,799.9443253292872,681.9476553462256,936.7642670944997
lgbm-hijri,Heatwave,1692.960375194848,1441.1967486913597,1989.0679785167433
chronos-bolt-L720,aggregate,968.8640784405268,868.7591807085003,1097.9472921470954
chronos-bolt-L720,Normal,904.0330952339057,790.8874064555278,1026.2985462237139
chronos-bolt-L720,Ramadan,1061.0289250640005,838.6964634313206,1336.7919887019443
chronos-bolt-L720,Heatwave,1221.2233199564614,915.5221402142843,1596.597054550171
timesfm-2.5-L168,aggregate,1173.2020885373836,1057.2187603963214,1313.2464784149704
timesfm-2.5-L168,Normal,1082.5367563852917,964.4294460527422,1217.2602035815112
timesfm-2.5-L168,Ramadan,1195.75664536988,972.0936544375662,1480.4719690231063
timesfm-2.5-L168,Heatwave,1624.1526628112795,1201.9026253458662,2183.009747742971
moirai-1.1-small-L336,aggregate,1727.1380471962375,1620.3261723204496,1853.5085081544396
moirai-1.1-small-L336,Normal,1645.406070122857,1515.9289423129183,1773.2673410810712
moirai-1.1-small-L336,Ramadan,1695.709834149894,1450.7933997823422,1968.884142524331
moirai-1.1-small-L336,Heatwave,2181.3726243082683,1844.277261714935,2554.2923185017903
time-moe-200m-L720,aggregate,985.9342032806218,878.1792606349297,1119.7073568381147
time-moe-200m-L720,Normal,908.836047531907,795.8084103996575,1029.0429789039526
time-moe-200m-L720,Ramadan,1115.555995983404,855.3929533318988,1447.869071541479
time-moe-200m-L720,Heatwave,1267.5904547627767,967.1777126859029,1601.827675221761
mstl_ets-nohijri,aggregate,1593.344069012253,1448.5903571130668,1759.805705625907
mstl_ets-nohijri,Normal,1370.6343454610262,1231.870176233776,1528.5743325477035
mstl_ets-nohijri,Ramadan,1842.702484873505,1578.3585628914632,2192.184670250807
mstl_ets-nohijri,Heatwave,2522.253309742639,2194.659459312458,2934.36299339606
mstl_ets-hijri,aggregate,1527.5067068429364,1379.500481540494,1692.9336628674907
mstl_ets-hijri,Normal,1371.8573657937925,1232.4621012729579,1530.3707777279137
mstl_ets-hijri,Ramadan,1326.9549777545292,1043.8136293571201,1711.8013591222432
mstl_ets-hijri,Heatwave,2522.253309742639,2194.659459312458,2934.36299339606
sarimax-nohijri,aggregate,2525.7903061091943,2373.9065834586027,2708.869152889745
sarimax-nohijri,Normal,2477.8949325909716,2295.228831185443,2665.9438787919107
sarimax-nohijri,Ramadan,2255.545487216051,1786.6011270054385,2722.245150787049
sarimax-nohijri,Heatwave,3024.127863863312,2636.526481463787,3395.79496993989
sarimax-hijri,aggregate,2485.8735489996066,2344.8403021878894,2648.8228476996173
sarimax-hijri,Normal,2422.811890666712,2255.6478140805157,2598.0873485277216
sarimax-hijri,Ramadan,2250.565455922281,1801.3022360737518,2703.626939059877
sarimax-hijri,Heatwave,3030.915888318608,2639.5526302830817,3404.556600314207
patchtsmixer-nohijri-L168,aggregate,1550.5857187014574,1489.2444367063645,1625.0946004613686
patchtsmixer-nohijri-L168,Normal,1491.99886291565,1428.1812602001414,1555.2637533893758
patchtsmixer-nohijri-L168,Ramadan,1492.0841236317092,1332.5490779401703,1697.176228905974
patchtsmixer-nohijri-L168,Heatwave,1909.351610666911,1736.5412882741296,2126.2905841585793
patchtsmixer-hijri-L168,aggregate,1552.6803977921693,1491.8733653966,1620.7963552089043
patchtsmixer-hijri-L168,Normal,1496.2236971541856,1437.20467663171,1555.8690226004817
patchtsmixer-hijri-L168,Ramadan,1551.6471619548906,1400.5381958380228,1736.9044651816844
patchtsmixer-hijri-L168,Heatwave,1847.38418258667,1667.3220816701253,2085.392757408142
chronos-bolt-L720+res-nh,aggregate,1001.8025933928476,898.9774007196546,1127.0952260546223
chronos-bolt-L720+res-nh,Normal,885.4495456721021,770.8845415652414,1008.6167823992836
chronos-bolt-L720+res-nh,Ramadan,1074.846782815763,837.9483778982559,1386.532111616876
chronos-bolt-L720+res-nh,Heatwave,1539.8644326906008,1259.4016191140083,1847.1247031544015
chronos-bolt-L720+res-h,aggregate,994.4682226908827,891.5636764542211,1119.4265915604192
chronos-bolt-L720+res-h,Normal,879.680806984027,766.1252331584269,1002.7006866346106
chronos-bolt-L720+res-h,Ramadan,1044.415778764363,809.3113047419494,1354.2769860337767
chronos-bolt-L720+res-h,Heatwave,1545.6760917853765,1270.5417792231683,1842.26875882032
moirai-L336+res-nh,aggregate,1390.1493364922594,1279.781380014997,1519.1854102989773
moirai-L336+res-nh,Normal,1220.3679851213897,1114.0615204849678,1342.8351094071604
moirai-L336+res-nh,Ramadan,1412.7215199849404,1149.093086080044,1739.6852417326088
moirai-L336+res-nh,Heatwave,2252.7341986865026,2019.841087653798,2537.558535160531
moirai-L336+res-h,aggregate,1377.2699006799792,1269.7074914291588,1504.343205802776
moirai-L336+res-h,Normal,1214.625745225658,1112.0902056525445,1337.4842012006816
moirai-L336+res-h,Ramadan,1441.6102881827183,1173.126382653258,1771.5979136005858
moirai-L336+res-h,Heatwave,2164.213977299158,1930.4087467103059,2465.4250795475255
timesfm-L168+res-nh,aggregate,1147.900653561006,1021.2633525681512,1293.65219271362
timesfm-L168+res-nh,Normal,983.5771822209772,868.5321871933978,1117.0037233877147
timesfm-L168+res-nh,Ramadan,1157.2431672913428,885.974736356501,1541.2123928831459
timesfm-L168+res-nh,Heatwave,1994.2835855319383,1652.9321203129252,2423.172609818458
timesfm-L168+res-h,aggregate,1136.5056402489708,1013.2134864516736,1279.1115979387018
timesfm-L168+res-h,Normal,980.4167013073534,867.4790984556353,1113.8848139312502
timesfm-L168+res-h,Ramadan,1199.6212403284085,929.0477995985103,1590.256417901222
timesfm-L168+res-h,Heatwave,1890.471206856344,1539.1713264859927,2332.727029386011
time-moe-L720+res-nh,aggregate,1024.5930644915109,914.1987767133968,1160.0236166596737
time-moe-L720+res-nh,Normal,883.9591212213104,768.802775840725,1009.1005008258337
time-moe-L720+res-nh,Ramadan,1150.273359123241,884.893695941797,1526.3577969960093
time-moe-L720+res-nh,Heatwave,1640.4675289556453,1376.6051340794565,1933.6850745932604
time-moe-L720+res-h,aggregate,1033.74672090354,924.9946760680118,1168.7900493499194
time-moe-L720+res-h,Normal,886.7852882066372,772.6571494699866,1012.1740089988267
time-moe-L720+res-h,Ramadan,1188.7759097776193,912.0437461889688,1561.5979134398433
time-moe-L720+res-h,Heatwave,1655.48789191132,1390.9048483889517,1945.626586505514
